"File","Line","Pattern","Severity","Code"
"core\growth\share_service.dart","423","UnsafePropertyToString","HIGH","final timeStr = '$hour:${time.minute.toString().padLeft(2, '0')} $amPm';"
"core\guards\profile_guard.dart","49","UnsafeTextInterpolation","MEDIUM","Text('Error loading profile: ${snapshot.error}'),"
"core\guards\profile_guard.dart","65","SnapshotDataAssertion","CRITICAL","if (snapshot.hasData && snapshot.data != null && snapshot.data!.exists) {"
"core\guards\profile_guard.dart","66","SnapshotDataAssertion","CRITICAL","final profileData = snapshot.data!.data() as Map<String, dynamic>?;"
"core\guards\profile_guard.dart","72","InvalidIndexing","CRITICAL","final hasAge = profileData?['age'] != null;"
"core\guards\profile_guard.dart","73","InvalidIndexing","CRITICAL","final hasGender = profileData?['gender'] != null;"
"core\insights\insights_dashboard.dart","167","UnsafePropertyToString","HIGH","metrics.newUsers.toString(),"
"core\insights\insights_dashboard.dart","176","UnsafePropertyToString","HIGH","metrics.activeUsers.toString(),"
"core\launch\closed_beta_service.dart","139","InvalidIndexing","CRITICAL","if (name != null) updates['name'] = name;"
"core\launch\closed_beta_service.dart","219","FirestoreDataAssertion","HIGH","final cohortData = cohortDoc.data()!;"
"core\launch\closed_beta_service.dart","566","FirestoreDataAssertion","HIGH","return BetaTester.fromMap(doc.data()!);"
"core\launch\launch_countdown_widget.dart","66","FirestoreDataAssertion","HIGH","_launchDate = (doc.data()!['launchDate'] as Timestamp).toDate();"
"core\launch\launch_marketing_service.dart","54","InvalidIndexing","CRITICAL","appName: appInfo['name'] ?? 'MixMingle',"
"core\launch\launch_readiness_report.dart","94","UnsafeTextInterpolation","MEDIUM","Text('Error: $_error'),"
"core\launch\launch_readiness_report.dart","150","UnsafePropertyToString","HIGH","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';"
"core\liveops\community_health_service.dart","530","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\liveops\creator_dashboard.dart","77","UnsafeTextInterpolation","MEDIUM","Text('Error: $_error'),"
"core\liveops\creator_program_service.dart","693","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\liveops\live_event_model.dart","76","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\liveops\liveops_service.dart","407","FirestoreDataAssertion","HIGH","final data = offerDoc.data()!;"
"core\liveops\seasonal_event_service.dart","285","FirestoreDataAssertion","HIGH","return SeasonalEvent.fromMap(doc.id, doc.data()!);"
"core\liveops\seasonal_event_service.dart","367","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\maintenance\maintenance_service.dart","670","UnsafePropertyToString","HIGH","return 'backup_${now.year}${now.month.toString().padLeft(2, '0')}${now.day.toString().padLeft(2, '0')}_${_random.nextInt(10000)}';"
"core\monetization\creator_economy_service.dart","377","FirestoreDataAssertion","HIGH","final creatorData = creatorDoc.data()!;"
"core\monetization\creator_economy_service.dart","431","FirestoreDataAssertion","HIGH","final creatorData = creatorDoc.data()!;"
"core\monetization\creator_economy_service.dart","557","FirestoreDataAssertion","HIGH","final creatorData = creatorDoc.data()!;"
"core\monetization\creator_economy_service.dart","715","FirestoreDataAssertion","HIGH","final bonusData = bonusDoc.data()!;"
"core\monetization\monetization_engine.dart","674","FirestoreDataAssertion","HIGH","final data = userDoc.data()!;"
"core\monetization\offer_engine.dart","364","InvalidIndexing","CRITICAL","final userId = doc.data()['userId'] as String?;"
"core\monetization\offer_engine.dart","406","FirestoreDataAssertion","HIGH","final offer = PersonalizedOffer.fromMap(offerDoc.data()!);"
"core\monetization\offer_engine.dart","474","FirestoreDataAssertion","HIGH","final bundle = CreatorSupportBundle.fromMap(bundleDoc.data()!);"
"core\monetization\offer_engine.dart","557","FirestoreDataAssertion","HIGH","final userData = userDoc.data()!;"
"core\monetization\offer_engine.dart","634","FirestoreDataAssertion","HIGH","final userData = userDoc.data()!;"
"core\monitoring\monitoring_dashboard.dart","88","UnsafeTextInterpolation","MEDIUM","Text('Error: $_error'),"
"core\monitoring\monitoring_dashboard.dart","136","UnsafePropertyToString","HIGH","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';"
"core\platform\integrations_service.dart","423","UnsafePropertyToString","HIGH","return key.hashCode.toString();"
"core\platform\oauth_provider.dart","407","FirestoreDataAssertion","HIGH","final providerData = providerDoc.data()!;"
"core\platform\platform_api_service.dart","444","FirestoreDataAssertion","HIGH","final data = tokenDoc.data()!;"
"core\platform\trust_dashboard.dart","388","UnsafeTextInterpolation","MEDIUM","subtitle: Text('Level ${cert.level}'),"
"core\platform\trust_dashboard.dart","754","UnsafeTextInterpolation","MEDIUM","Text('Rule: ${violation.ruleId}'),"
"core\platform\trust_dashboard.dart","756","UnsafeTextInterpolation","MEDIUM","Text('Severity: ${violation.severity.name}'),"
"core\platform\trust_dashboard.dart","758","UnsafeTextInterpolation","MEDIUM","Text('Description:\n${violation.description}'),"
"core\platform\trust_dashboard.dart","762","UnsafeTextInterpolation","MEDIUM","...violation.evidence.map((e) => Text('• $e')),"
"core\platform\trust_framework.dart","622","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\platform\trust_framework.dart","794","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\platform\trust_framework.dart","806","InvalidIndexing","CRITICAL","name: f['name'] as String,"
"core\retention\retention_service.dart","49","FirestoreDataAssertion","HIGH","final data = rewardsDoc.data()!;"
"core\retention\retention_service.dart","145","FirestoreDataAssertion","HIGH","final lastClaim = rewardsDoc.data()!['lastSpotlightClaim'] as Timestamp?;"
"core\retention\retention_service.dart","263","FirestoreDataAssertion","HIGH","final lastClaim = rewardsDoc.data()!['lastVipPerksClaim'] as Timestamp?;"
"core\retention\retention_service.dart","420","FirestoreDataAssertion","HIGH","final data = streaksDoc.data()!;"
"core\retention\retention_service.dart","513","FirestoreDataAssertion","HIGH","final stats = statsDoc.data()!;"
"core\routing\app_routes.dart","181","UnsafeTextInterpolation","MEDIUM","child: Text('Room: $roomId\n(Coming soon)'),"
"core\routing\app_routes.dart","240","InvalidIndexing","CRITICAL","final userId = args?['userId'] as String?;"
"core\routing\app_routes.dart","256","InvalidIndexing","CRITICAL","final userId = args?['userId'] as String?;"
"core\routing\app_routes.dart","297","InvalidIndexing","CRITICAL","final reportedUserId = args?['userId'] as String?;"
"core\safety\safety_ai_service.dart","378","FirestoreDataAssertion","HIGH","final userData = userDoc.data()!;"
"core\safety\safety_ai_service.dart","462","FirestoreDataAssertion","HIGH","final userData = userDoc.data()!;"
"core\safety\safety_ai_service.dart","490","FirestoreDataAssertion","HIGH","final banData = banDoc.data()!;"
"core\scale\scale_service.dart","324","FirestoreDataAssertion","HIGH","final data = roomDoc.data()!;"
"core\services\push_notification_service.dart","305","UnsafePropertyToString","HIGH","payload: message.data.toString(),"
"features\chat_list_page.dart","38","UnsafeTextInterpolation","MEDIUM","Text('Error loading chats: $error'),"
"features\chat_list_page.dart","313","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to start chat: $e')),"
"features\chat_room_page.dart","64","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to send message: $e')),"
"features\chat_room_page.dart","186","UnsafeTextInterpolation","MEDIUM","child: Text('Error loading messages: $error'),"
"features\chat_room_page.dart","274","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to delete message: $e')),"
"features\chat_room_page.dart","353","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to upload image: $e')),"
"features\chat_room_page.dart","388","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to upload file: $e')),"
"features\chat_room_page.dart","422","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to take photo: $e')),"
"features\chat_room_page.dart","474","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to block user: $e')),"
"features\chat_room_page.dart","577","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to submit report: $e')),"
"features\chat_room_page.dart","716","UnsafePropertyToString","HIGH","return 'Today ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';"
"features\chat_room_page.dart","718","UnsafePropertyToString","HIGH","return 'Yesterday ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';"
"features\chat_room_page.dart","720","UnsafePropertyToString","HIGH","return '${timestamp.month}/${timestamp.day} ${timestamp.hour}:${timestamp.minute.toString().padLeft(2, '0')}';"
"features\create_event_page.dart","176","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to create event: $e')),"
"features\create_event_page.dart","490","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to pick image: $e')),"
"features\create_profile_page.dart","96","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error picking image: $e')),"
"features\create_profile_page.dart","154","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error creating profile: $e')),"
"features\event_details_page.dart","54","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to update attendance: $e')),"
"features\event_details_page.dart","98","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to delete event: $e')),"
"features\events_page.dart","95","UnsafeTextInterpolation","MEDIUM","Text('Error loading events: $error'),"
"features\events_page.dart","174","UnsafeTextInterpolation","MEDIUM","child: Text('Error loading your events: $error'),"
"features\events_page.dart","218","UnsafeTextInterpolation","MEDIUM","child: Text('Error loading attending events: $error'),"
"features\home_page.dart","101","UnsafeTextInterpolation","MEDIUM","error: (error, stack) => Text('Error loading profile: $error'),"
"features\home_page.dart","143","UnsafeTextInterpolation","MEDIUM","error: (error, stack) => Text('Error loading events: $error'),"
"features\home_page.dart","171","UnsafeTextInterpolation","MEDIUM","error: (error, stack) => Text('Error loading messages: $error'),"
"features\profile_page.dart","90","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to update profile: $e')),"
"features\profile_page.dart","156","UnsafeTextInterpolation","MEDIUM","Text('Error loading profile: $error'),"
"features\achievements\achievements_page.dart","37","UnsafeTextInterpolation","MEDIUM","return Center(child: Text('Error: ${snapshot.error}'));"
"features\admin\admin_dashboard_page.dart","67","UnsafeTextInterpolation","MEDIUM","return Text('Error: ${snapshot.error}');"
"features\admin\admin_dashboard_page.dart","278","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Report $status')),"
"features\admin\admin_dashboard_page.dart","285","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error: $e')),"
"features\app\screens\email_verification_page.dart","54","UnsafeTextInterpolation","MEDIUM","content: Text('Error sending email: $e'),"
"features\app\screens\matches_page.dart","48","UnsafeTextInterpolation","MEDIUM","content: Text('Error generating matches: $e'),"
"features\app\screens\matches_page.dart","94","UnsafeTextInterpolation","MEDIUM","content: Text('Error: $e'),"
"features\app\screens\matches_page.dart","110","UnsafeTextInterpolation","MEDIUM","content: Text('Error: $e'),"
"features\app\screens\matches_page.dart","189","UnsafeTextInterpolation","MEDIUM","Text('Error loading matches: $error'),"
"features\app\screens\profile_edit_page.dart","145","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error selecting image: $e')),"
"features\app\screens\profile_edit_page.dart","173","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error uploading photo: $e')),"
"features\app\screens\profile_edit_page.dart","232","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error updating profile: $e')),"
"features\auth\screens\neon_splash_page.dart","107","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error: $e')),"
"features\browse\screens\browse_rooms_paginated_page.dart","66","UnsafeTextInterpolation","MEDIUM","subtitle: Text('${room.participantIds.length} members • ${room.viewerCount} viewers'),"
"features\chat\screens\chat_conversation_page.dart","68","FirestoreDataAssertion","HIGH","final chatData = chatDoc.data()!;"
"features\chat\screens\chat_conversation_page.dart","98","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to send message: $e')),"
"features\chat\screens\chat_conversation_page.dart","233","UnsafeTextInterpolation","MEDIUM","return Center(child: Text('Error: ${snapshot.error}'));"
"features\chat\screens\chat_list_page.dart","273","UnsafePropertyToString","HIGH","return '${dateTime.hour.toString().padLeft(2, '0')}:${dateTime.minute.toString().padLeft(2, '0')}';"
"features\chat\screens\chat_page.dart","213","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Upload failed: $e')),"
"features\chat\screens\chats_list_page.dart","51","UnsafeTextInterpolation","MEDIUM","child: Text('Error: ${snapshot.error}'),"
"features\discover\room_discovery_page.dart","98","UnsafeTextInterpolation","MEDIUM","return Text('Error: ${snapshot.error}');"
"features\discover\room_discovery_page.dart","180","UnsafeTextInterpolation","MEDIUM","return Center(child: Text('Error: ${snapshot.error}'));"
"features\discover\room_discovery_page.dart","254","UnsafeTextInterpolation","MEDIUM","return Center(child: Text('Error: ${snapshot.error}'));"
"features\edit_profile\edit_profile_page.dart","121","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to update profile: $e')),"
"features\edit_profile\edit_profile_page.dart","225","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to update avatar: $e')),"
"features\edit_profile\edit_profile_page.dart","333","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to add photo: $e')),"
"features\edit_profile\edit_profile_page.dart","396","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to remove photo: $e')),"
"features\edit_profile\edit_profile_page.dart","722","UnsafePropertyToString","HIGH","_buildStat('Rooms Created', user.liveSessionsHosted.toString()),"
"features\events\screens\create_event_page.dart","162","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Firebase error: ${e.message}')),"
"features\events\screens\create_event_page.dart","168","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('An unexpected error occurred: $e')),"
"features\events\screens\event_chat_page.dart","69","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to send message: $e')),"
"features\events\screens\event_details_page.dart","263","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error joining room: $e')),"
"features\events\screens\event_details_screen.dart","428","UnsafePropertyToString","HIGH","final time = '${date.hour}:${date.minute.toString().padLeft(2, '0')}';"
"features\events\screens\events_list_paginated_page.dart","181","UnsafePropertyToString","HIGH","final minute = dateTime.minute.toString().padLeft(2, '0');"
"features\feed\social_feed_page.dart","786","UnsafeTextInterpolation","MEDIUM",": Text('Send $_selectedAmount'),"
"features\group_chat\screens\group_chat_room_page.dart","169","UnsafeTextInterpolation","MEDIUM","error: (err, _) => Center(child: Text('Participants unavailable: $err')),"
"features\home\home_page_electric.dart","212","UnsafeTextInterpolation","MEDIUM","error: (error, stack) => Center(child: Text('Error: $error')),"
"features\landing\landing_page.dart","189","SnapshotDataAssertion","CRITICAL","if (snapshot.hasData && snapshot.data != null && snapshot.data!.docs.isNotEmpty) {"
"features\landing\landing_page.dart","190","SnapshotDataAssertion","CRITICAL","for (var doc in snapshot.data!.docs) {"
"features\landing\landing_page.dart","338","SnapshotDataAssertion","CRITICAL","if (snapshot.hasData && snapshot.data != null && snapshot.data!.docs.isNotEmpty) {"
"features\landing\landing_page.dart","339","SnapshotDataAssertion","CRITICAL","for (var doc in snapshot.data!.docs) {"
"features\landing\landing_page.dart","525","SnapshotDataAssertion","CRITICAL","if (snapshot.hasData && snapshot.data != null && snapshot.data!.docs.isNotEmpty) {"
"features\landing\landing_page.dart","526","SnapshotDataAssertion","CRITICAL","for (var doc in snapshot.data!.docs) {"
"features\landing\landing_page.dart","700","InvalidIndexing","CRITICAL","profile['age'] != null"
"features\landing\landing_page.dart","701","InvalidIndexing","CRITICAL","? '${profile['name']}, ${profile['age']}'"
"features\landing\landing_page.dart","702","InvalidIndexing","CRITICAL",": profile['name']!,"
"features\landing\landing_page.dart","708","InvalidIndexing","CRITICAL","if (profile['location'] != null && (profile['location']?.toString() ?? '').isNotEmpty)"
"features\landing\landing_page.dart","710","InvalidIndexing","CRITICAL","profile['location']!,"
"features\landing\landing_page.dart","756","SnapshotDataAssertion","CRITICAL","if (snapshot.hasData && snapshot.data!.docs.isNotEmpty) {"
"features\landing\landing_page.dart","757","SnapshotDataAssertion","CRITICAL","for (var doc in snapshot.data!.docs) {"
"features\landing\landing_page.dart","813","InvalidIndexing","CRITICAL","Text(dj['name']!, style: textTheme.titleSmall, maxLines: 1, overflow: TextOverflow.ellipsis),"
"features\landing\landing_page.dart","886","InvalidIndexing","CRITICAL","item['name']!,"
"features\leaderboards\leaderboards_page.dart","75","SnapshotDataAssertion","CRITICAL","if (!snapshot.hasData || snapshot.data!.docs.isEmpty) {"
"features\leaderboards\leaderboards_page.dart","85","SnapshotDataAssertion","CRITICAL","final docs = snapshot.data!.docs;"
"features\leaderboards\leaderboards_page.dart","125","SnapshotDataAssertion","CRITICAL","if (!snapshot.hasData || snapshot.data!.docs.isEmpty) {"
"features\leaderboards\leaderboards_page.dart","135","SnapshotDataAssertion","CRITICAL","final docs = snapshot.data!.docs;"
"features\leaderboards\leaderboards_page.dart","174","SnapshotDataAssertion","CRITICAL","if (!snapshot.hasData || snapshot.data!.docs.isEmpty) {"
"features\leaderboards\leaderboards_page.dart","184","SnapshotDataAssertion","CRITICAL","final docs = snapshot.data!.docs;"
"features\leaderboards\leaderboards_page.dart","223","SnapshotDataAssertion","CRITICAL","final username = snapshot.hasData && snapshot.data!.exists"
"features\leaderboards\leaderboards_page.dart","224","SnapshotDataAssertion","CRITICAL","? (snapshot.data!.data() as Map<String, dynamic>)['username'] ??"
"features\leaderboards\leaderboards_page.dart","227","SnapshotDataAssertion","CRITICAL","final profilePhoto = snapshot.hasData && snapshot.data!.exists"
"features\leaderboards\leaderboards_page.dart","228","SnapshotDataAssertion","CRITICAL","? (snapshot.data!.data() as Map<String, dynamic>)['profilePhotoUrl']"
"features\matching\examples\matching_example.dart","27","UnsafeTextInterpolation","MEDIUM","error: (error, stack) => Center(child: Text('Error: $error')),"
"features\matching\examples\matching_example.dart","57","UnsafeTextInterpolation","MEDIUM","Text('Min Score: ${currentFilter.minScore.toInt()}'),"
"features\matching\examples\matching_example.dart","67","UnsafeTextInterpolation","MEDIUM","Text('Max Distance: ${currentFilter.maxDistance.toInt()} miles'),"
"features\matching\providers\matching_providers.dart","72","FirestoreDataAssertion","HIGH","return MatchingProfile.fromJson(doc.data()!);"
"features\matching\providers\matching_providers.dart","108","FirestoreDataAssertion","HIGH","final targetProfile = MatchingProfile.fromJson(targetDoc.data()!);"
"features\matching\providers\matching_providers.dart","196","FirestoreDataAssertion","HIGH","final theirProfile = MatchingProfile.fromJson(theirDoc.data()!);"
"features\messages\chat_screen.dart","446","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to send message: $e'),"
"features\messages\chat_screen.dart","474","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to edit message: $e'),"
"features\messages\chat_screen.dart","501","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to delete message: $e'),"
"features\messages\chat_screen.dart","520","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to add reaction: $e'),"
"features\messages\chat_screen.dart","539","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to remove reaction: $e'),"
"features\messages\chat_screen.dart","685","UnsafePropertyToString","HIGH","users.length.toString(),"
"features\messages\chat_screen.dart","822","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to edit message: $e'),"
"features\messages\chat_screen.dart","879","UnsafeTextInterpolation","MEDIUM","content: Text('Failed to delete message: $e'),"
"features\messages\chat_screen.dart","897","UnsafePropertyToString","HIGH","return '${time.hour.toString().padLeft(2, '0')}:${time.minute.toString().padLeft(2, '0')}';"
"features\messages\messages_page.dart","684","UnsafePropertyToString","HIGH","return '${time.hour.toString().padLeft(2, '0')}:${time.minute.toString().padLeft(2, '0')}';"
"features\messages\messages_page.dart","793","UnsafePropertyToString","HIGH","return '${time.hour.toString().padLeft(2, '0')}:${time.minute.toString().padLeft(2, '0')}';"
