"File","Line","Pattern","Severity","Code"
"shared\widgets\friends_sidebar_widget.dart","455","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(widget.friend.avatarUrl),"
"shared\widgets\groups_sidebar_widget.dart","364","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(group.imageUrl),"
"shared\widgets\mini_profile_popup.dart","141","UnsafeNetworkImage","HIGH","? NetworkImage(avatarUrl)"
"shared\widgets\safe_avatar.dart","32","UnsafeImageUrlAssertion","CRITICAL","if (kIsWeb || photoUrl == null || photoUrl!.isEmpty) {"
"shared\widgets\safe_avatar.dart","51","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(photoUrl!),"
"shared\widgets\safe_avatar.dart","51","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: NetworkImage(photoUrl!),"
"shared\widgets\social_graph_widgets.dart","315","UnsafeNetworkImage","HIGH","backgroundImage: user.photoUrl != null ? NetworkImage(user.photoUrl!) : null,"
"shared\widgets\social_graph_widgets.dart","315","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: user.photoUrl != null ? NetworkImage(user.photoUrl!) : null,"
"shared\widgets\video_tile.dart","211","UnsafeNetworkImage","HIGH","image: NetworkImage(avatarUrl),"
"shared\widgets\voice_room_participant_list.dart","167","UnsafeNetworkImage","HIGH","? NetworkImage(userAsync.value!.photoUrl!)"
"shared\widgets\voice_room_participant_list.dart","167","UnsafeImageUrlAssertion","CRITICAL","? NetworkImage(userAsync.value!.photoUrl!)"
"_disabled\speed_dating\speed_dating_decision_page.dart","104","UnsafeNetworkImage","HIGH","partner.profileImageUrl != null ? NetworkImage(partner.profileImageUrl!) : null,"
"_disabled\speed_dating\speed_dating_decision_page.dart","104","UnsafeImageUrlAssertion","CRITICAL","partner.profileImageUrl != null ? NetworkImage(partner.profileImageUrl!) : null,"
"_disabled\speed_dating\speed_dating_lobby_page.dart","225","UnsafeNetworkImage","HIGH","backgroundImage: partner.profileImageUrl != null ? NetworkImage(partner.profileImageUrl!) : null,"
"_disabled\speed_dating\speed_dating_lobby_page.dart","225","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: partner.profileImageUrl != null ? NetworkImage(partner.profileImageUrl!) : null,"
"_disabled\speed_dating\speed_dating_page.dart","239","UnsafeNetworkImage","HIGH","image: NetworkImage(matchUser.photos.first),"
