"File","Line","Severity","Pattern","Code","Description","Fix"
"lib\core\automation\automation_service.dart","474","HIGH","UnsafeToString","error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\automation\scheduler.dart","179","CRITICAL","NullAssertion","tasks[taskId] = tasks[taskId]!.copyWith(isEnabled: enabled);","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\autonomy\governance_dashboard.dart","77","HIGH","UnsafeToString","_error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\governance_dashboard.dart","102","MEDIUM","StringInterpolation","Text('Error: $_error'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\autonomy\governance_dashboard.dart","181","HIGH","UnsafeToString","value: _policyEngine.getPolicies().where((p) => p.isActive).length.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\governance_dashboard.dart","181","HIGH","PropertyChainToString","value: _policyEngine.getPolicies().where((p) => p.isActive).length.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\autonomy\governance_dashboard.dart","336","CRITICAL","NullAssertion","..._latestReport!.violationsByCategory.entries.map((entry) =>","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\autonomy\governance_dashboard.dart","363","HIGH","UnsafeToString","displayValue = value.toInt().toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\governance_dashboard.dart","366","HIGH","UnsafeToString","displayValue = value.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\governance_dashboard.dart","400","HIGH","UnsafeToString","Text(count.toString(), style: const TextStyle(fontSize: 12)),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\governance_dashboard.dart","604","CRITICAL","NullAssertion","if (_latestReport!.totalViolations > 100) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\autonomy\optimization_engine.dart","560","HIGH","UnsafeToString","results['error'] = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\optimization_engine.dart","591","HIGH","UnsafeToString","results['error'] = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\policy_engine.dart","600","CRITICAL","NullAssertion","final category = _policies[policyId]!.category.name;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\autonomy\policy_engine.dart","603","CRITICAL","NullAssertion","final severity = _policies[policyId]!.severity.name;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\autonomy\predictive_scaling.dart","259","HIGH","UnsafeToString","patterns[hour.toString()] = load;","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\predictive_scaling.dart","508","HIGH","UnsafeToString","metrics: {'error': e.toString()},","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\predictive_scaling.dart","592","HIGH","UnsafeToString","results['error'] = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\autonomy\predictive_scaling.dart","618","CRITICAL","NullAssertion","_hourlyLoadHistory[hour]!.add(load);","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\constants\app_icons.dart","230","CRITICAL","NullAssertion","color: color!.withValues(alpha: 0.5),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\crashlytics\crashlytics_service.dart","93","HIGH","UnsafeToString","await _crashlytics?.setCustomKey(key, value.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\ecosystem\ecosystem_dashboard.dart","226","CRITICAL","NullAssertion","..._health!.healthFactors.entries.map((entry) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","283","CRITICAL","NullAssertion","value: '${_health!.activeCreators}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","284","CRITICAL","NullAssertion","subtitle: '/ ${_health!.totalCreators} total',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","285","CRITICAL","NullAssertion","growth: _health!.creatorGrowthRate,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","291","CRITICAL","NullAssertion","value: '${_health!.activePartners}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","292","CRITICAL","NullAssertion","subtitle: '/ ${_health!.totalPartners} total',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","293","CRITICAL","NullAssertion","growth: _health!.partnerGrowthRate,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","299","CRITICAL","NullAssertion","value: '${_health!.activeApps}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","300","CRITICAL","NullAssertion","subtitle: '/ ${_health!.totalApps} total',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","301","CRITICAL","NullAssertion","growth: _health!.appGrowthRate,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","307","CRITICAL","NullAssertion","value: '${_health!.userRetention.toStringAsFixed(1)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","409","CRITICAL","NullAssertion","value: '${_health!.revenueGrowth.toStringAsFixed(1)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","418","CRITICAL","NullAssertion","value: '${_health!.creatorGrowthRate.toStringAsFixed(1)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","427","CRITICAL","NullAssertion","value: '${_health!.partnerGrowthRate.toStringAsFixed(1)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\ecosystem_dashboard.dart","589","MEDIUM","StringInterpolation","subtitle: Text('${campaign.target.name.toUpperCase()} • ${campaign.type.name}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\ecosystem_dashboard.dart","1047","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to create campaign: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\ecosystem_dashboard.dart","1075","MEDIUM","StringInterpolation","SnackBar(content: Text('Opening campaign: ${campaign.name}')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\ecosystem_dashboard.dart","1096","MEDIUM","StringInterpolation","...opportunity.requirements.map((r) => Text('• $r')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\ecosystem_dashboard.dart","1104","MEDIUM","StringInterpolation","...opportunity.risks.map((r) => Text('• $r')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\marketplace_dashboard.dart","349","CRITICAL","NullAssertion","amount: _earnings!.totalEarnings,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","358","CRITICAL","NullAssertion","amount: _earnings!.pendingEarnings,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","424","CRITICAL","NullAssertion","_buildTierBadge(_revenueSplit!.tier),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","433","CRITICAL","NullAssertion","flex: _revenueSplit!.creatorPercentage.toInt(),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","444","CRITICAL","NullAssertion","'${_revenueSplit!.creatorPercentage.toStringAsFixed(0)}% You',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","455","CRITICAL","NullAssertion","flex: _revenueSplit!.platformPercentage.toInt(),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","466","CRITICAL","NullAssertion","'${_revenueSplit!.platformPercentage.toStringAsFixed(0)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","491","CRITICAL","NullAssertion","'Partner Bonus: +${_revenueSplit!.partnerBonus!.toStringAsFixed(0)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\marketplace_dashboard.dart","659","MEDIUM","StringInterpolation","child: Text('\$${price.toStringAsFixed(2)}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\marketplace_dashboard.dart","802","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to create service: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\marketplace_dashboard.dart","831","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to apply boost: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\marketplace_service.dart","708","CRITICAL","NullAssertion","final data = doc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","58","CRITICAL","NullAssertion","_partnerService.partnerAnalytics(_partner!.id),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","59","CRITICAL","NullAssertion","_partnerService.partnerRevenueShare(_partner!.id),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","60","CRITICAL","NullAssertion","_partnerService.getPartnerPayouts(_partner!.id),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","333","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to submit: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\partner_portal.dart","389","CRITICAL","NullAssertion","_partner!.name[0].toUpperCase(),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","403","CRITICAL","NullAssertion","_partner!.name,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","410","CRITICAL","NullAssertion","_partner!.type.name.toUpperCase(),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","416","CRITICAL","NullAssertion","_buildTierBadge(_partner!.tier),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","420","CRITICAL","NullAssertion","_buildStatusIndicator(_partner!.status),","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","491","CRITICAL","NullAssertion","value: '${_analytics!.totalReferrals}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","500","CRITICAL","NullAssertion","value: '${_analytics!.conversions}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","509","CRITICAL","NullAssertion","value: '${_analytics!.conversionRate.toStringAsFixed(1)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","570","CRITICAL","NullAssertion","'${_revenueShare!.totalPercentage.toStringAsFixed(0)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","587","CRITICAL","NullAssertion","'Base: ${_revenueShare!.basePercentage.toStringAsFixed(0)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","589","CRITICAL","NullAssertion","if (_revenueShare!.bonusPercentage > 0)","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","591","CRITICAL","NullAssertion","'Bonus: +${_revenueShare!.bonusPercentage.toStringAsFixed(0)}%',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","622","CRITICAL","NullAssertion","'\$${_analytics!.totalCommissions.toStringAsFixed(2)}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","627","CRITICAL","NullAssertion","'\$${_analytics!.pendingCommissions.toStringAsFixed(2)}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","632","CRITICAL","NullAssertion","'\$${_partner!.lifetimeEarnings.toStringAsFixed(2)}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","788","CRITICAL","NullAssertion","'${_analytics!.totalReferrals}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","793","CRITICAL","NullAssertion","'${_analytics!.activeReferrals}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","798","CRITICAL","NullAssertion","'${_analytics!.conversions}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","803","CRITICAL","NullAssertion","'\$${_analytics!.totalRevenue.toStringAsFixed(0)}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","970","CRITICAL","NullAssertion","'<script src=""https://mixmingle.app/widget.js?ref=${_partner!.referralCode}""></script>',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","981","CRITICAL","NullAssertion","'<script src=""https://mixmingle.app/widget.js?ref=${_partner!.referralCode}""></script>',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","1133","MEDIUM","StringInterpolation","title: Text('\$${payout.amount.toStringAsFixed(2)}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\partner_portal.dart","1183","CRITICAL","NullAssertion","'Amount: \$${_analytics!.pendingCommissions.toStringAsFixed(2)}',","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","1218","CRITICAL","NullAssertion","partnerId: _partner!.id,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","1219","CRITICAL","NullAssertion","amount: _analytics!.pendingCommissions,","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\ecosystem\partner_portal.dart","1231","MEDIUM","StringInterpolation","SnackBar(content: Text('Failed to request payout: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\ecosystem\partner_program_service.dart","427","HIGH","UnsafeToString","final suffix = _random.nextInt(9999).toString().padLeft(4, '0');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\ecosystem\partner_program_service.dart","794","CRITICAL","NullAssertion","final data = doc.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\empire\economy_dashboard.dart","473","HIGH","UnsafeToString","m.totalCreators.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\economy_dashboard.dart","473","HIGH","PropertyChainToString","m.totalCreators.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\economy_dashboard.dart","480","HIGH","UnsafeToString","m.activeCreators.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\economy_dashboard.dart","480","HIGH","PropertyChainToString","m.activeCreators.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\economy_dashboard.dart","763","MEDIUM","StringInterpolation","child: Text('• $w'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\economy_dashboard.dart","797","MEDIUM","StringInterpolation","child: Text('• $r'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\economy_dashboard.dart","1013","MEDIUM","StringInterpolation","Text('${multiplier.toStringAsFixed(1)}x'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\economy_dashboard.dart","1025","MEDIUM","StringInterpolation","child: Text('$h hours'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\empire_dashboard.dart","156","HIGH","UnsafeToString","m.newUsers.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_dashboard.dart","156","HIGH","PropertyChainToString","m.newUsers.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_dashboard.dart","165","HIGH","UnsafeToString","m.returningUsers.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_dashboard.dart","165","HIGH","PropertyChainToString","m.returningUsers.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_dashboard.dart","353","MEDIUM","StringInterpolation","subtitle: Text('$users active users'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\empire_dashboard.dart","429","HIGH","UnsafeToString","m.newCreators30d.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_dashboard.dart","429","HIGH","PropertyChainToString","m.newCreators30d.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_dashboard.dart","725","HIGH","UnsafeToString","m.totalPartners.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_dashboard.dart","725","HIGH","PropertyChainToString","m.totalPartners.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_dashboard.dart","734","HIGH","UnsafeToString","m.activePartners.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_dashboard.dart","734","HIGH","PropertyChainToString","m.activePartners.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_dashboard.dart","747","HIGH","UnsafeToString","m.newPartnersMonth.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_dashboard.dart","747","HIGH","PropertyChainToString","m.newPartnersMonth.toString(),","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_insights_service.dart","460","HIGH","UnsafeToString","return '${date.year}-${date.month.toString().padLeft(2, '0')}-${date.day.toString().padLeft(2, '0')}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\empire_insights_service.dart","460","HIGH","PropertyChainToString","return '${date.year}-${date.month.toString().padLeft(2, '0')}-${date.day.toString().padLeft(2, '0')}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\empire_insights_service.dart","497","CRITICAL","NullAssertion","final data = platformData.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\empire\federation_protocol.dart","355","HIGH","UnsafeToString","errorMessage: e.toString(),","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\federation_protocol.dart","381","HIGH","UnsafeToString","return sha256.convert(bytes).toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\federation_protocol.dart","537","HIGH","UnsafeToString","final content = deltas.map((d) => d.toJson().toString()).join();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\federation_protocol.dart","538","HIGH","UnsafeToString","return sha256.convert(utf8.encode(content)).toString().substring(0, 16);","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\federation_protocol.dart","660","CRITICAL","NullAssertion","final session = _activeSessions[partnerId]!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\empire\social_graph_ai.dart","507","HIGH","UnsafeToString","final hour = i.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\social_graph_ai.dart","820","HIGH","UnsafeToString","return {'id': r.toString()};","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\social_graph_ai.dart","846","HIGH","UnsafeToString","final hour = DateTime.now().hour.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\social_graph_ai.dart","846","HIGH","PropertyChainToString","final hour = DateTime.now().hour.toString();","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\empire\trust_network_dashboard.dart","651","MEDIUM","StringInterpolation","content: Text('Appeal ${decision.name}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\trust_network_dashboard.dart","659","MEDIUM","StringInterpolation","SnackBar(content: Text('Error: $e')),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\trust_network_dashboard.dart","747","MEDIUM","StringInterpolation","Text('${profile.confirmedViolations}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\trust_network_dashboard.dart","753","MEDIUM","StringInterpolation","Text('${profile.appealsWon}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\trust_network_dashboard.dart","759","MEDIUM","StringInterpolation","Text('${profile.appealsLost}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\core\empire\trust_network_dashboard.dart","960","HIGH","UnsafeToString","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\empire\trust_network_dashboard.dart","960","HIGH","PropertyChainToString","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';","Property chain ending in .toString() without null-safety","Use safe navigation: object?.property?.toString()"
"lib\core\engagement\welcome_room_service.dart","39","CRITICAL","NullAssertion","return _cachedConfig!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\engagement\welcome_room_service.dart","51","CRITICAL","NullAssertion","return _cachedConfig!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
